scenario,final_lose_state
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'X' '.']
 ['X' 'O' 'X']
 ['O' 'O' 'O']]"
"(0, 2, 1, 1)","[['X' 'X' '.']
 ['X' 'O' 'X']
 ['O' 'O' 'O']]"
"(0, 2, 1, 1)","[['X' 'X' '.']
 ['X' 'O' 'X']
 ['O' 'O' 'O']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
